timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1717675227754.0,462.0,345.0,41.0,86.0,167.0,139.0
1717675227880.0,372.0,314.0,60.0,66.0,198.0,100.0
1717675227883.0,359.0,305.0,59.0,65.0,193.0,98.0
1717675227926.0,295.0,372.0,50.0,55.0,164.0,83.0
1717675227990.0,243.0,304.0,81.0,86.0,240.0,75.0
1717675228125.0,568.0,276.0,55.0,139.0,176.0,51.0
1717675228204.0,571.0,301.0,44.0,147.0,246.0,41.0
1717675228303.0,593.0,206.0,51.0,103.0,220.0,45.0
1717675228321.0,570.0,199.0,49.0,101.0,224.0,44.0
1717675228351.0,504.0,186.0,45.0,93.0,205.0,39.0
1717675228353.0,492.0,184.0,44.0,92.0,201.0,39.0
1717675228431.0,352.0,312.0,33.0,91.0,172.0,92.0
1717675228447.0,335.0,295.0,32.0,88.0,165.0,88.0
1717675228540.0,374.0,215.0,106.0,88.0,155.0,65.0
1717675228540.0,371.0,212.0,105.0,88.0,153.0,63.0
1717675228787.0,543.0,344.0,50.0,71.0,131.0,43.0
1717675228787.0,527.0,334.0,51.0,70.0,130.0,42.0
1717675228885.0,359.0,242.0,39.0,114.0,209.0,31.0
1717675228904.0,343.0,231.0,38.0,109.0,211.0,30.0
1717675228951.0,289.0,199.0,39.0,92.0,179.0,31.0
1717675228970.0,268.0,185.0,35.0,85.0,167.0,28.0
1717675229075.0,356.0,173.0,27.0,103.0,187.0,23.0
1717675229117.0,316.0,163.0,46.0,92.0,258.0,33.0
1717675229160.0,359.0,145.0,47.0,80.0,224.0,28.0
1717675229345.0,295.0,126.0,40.0,45.0,129.0,31.0
1717675229446.0,343.0,243.0,66.0,76.0,205.0,56.0
1717675229561.0,396.0,218.0,64.0,52.0,207.0,38.0
1717675229583.0,381.0,211.0,63.0,51.0,199.0,36.0
1717675229690.0,269.0,166.0,46.0,98.0,147.0,27.0
1717675229786.0,302.0,237.0,31.0,96.0,203.0,38.0
1717675229802.0,297.0,235.0,31.0,94.0,200.0,38.0
1717675229835.0,262.0,207.0,28.0,86.0,179.0,33.0
1717675230007.0,208.0,185.0,40.0,128.0,191.0,43.0
1717675230008.0,206.0,183.0,39.0,159.0,253.0,43.0
1717675230177.0,300.0,176.0,55.0,97.0,265.0,84.0
1717675230193.0,281.0,167.0,52.0,92.0,342.0,78.0
1717675230231.0,346.0,182.0,48.0,84.0,307.0,71.0
1717675230249.0,313.0,167.0,44.0,83.0,283.0,65.0
1717675230471.0,377.0,244.0,51.0,92.0,250.0,56.0
1717675230621.0,437.0,242.0,50.0,66.0,222.0,39.0
1717675230896.0,313.0,155.0,26.0,97.0,125.0,47.0
1717675231005.0,398.0,216.0,33.0,98.0,177.0,34.0
1717675231062.0,332.0,259.0,36.0,83.0,151.0,55.0
1717675231275.0,214.0,208.0,31.0,132.0,271.0,107.0
1717675231290.0,203.0,196.0,30.0,125.0,254.0,100.0
1717675231374.0,230.0,295.0,67.0,126.0,193.0,78.0
1717675231393.0,215.0,277.0,63.0,119.0,183.0,73.0
1717675231427.0,194.0,278.0,56.0,104.0,163.0,65.0
1717675231663.0,224.0,175.0,40.0,140.0,198.0,31.0
1717675231679.0,216.0,167.0,39.0,134.0,190.0,31.0
1717675231770.0,259.0,140.0,29.0,111.0,196.0,33.0
1717675231803.0,227.0,163.0,50.0,99.0,175.0,82.0
1717675231859.0,207.0,212.0,43.0,84.0,247.0,71.0
1717675231917.0,204.0,175.0,35.0,71.0,204.0,60.0
1717675231936.0,185.0,162.0,32.0,67.0,188.0,56.0
1717675231955.0,225.0,212.0,30.0,63.0,183.0,51.0
1717675236104.0,172.0,95.0,30.0,147.0,194.0,89.0
1717675236124.0,163.0,87.0,28.0,134.0,247.0,81.0
1717675236196.0,187.0,98.0,47.0,156.0,300.0,65.0
1717675236244.0,199.0,88.0,42.0,140.0,266.0,59.0
1717675236451.0,460.0,231.0,77.0,103.0,200.0,38.0
1717675236555.0,292.0,234.0,51.0,71.0,206.0,109.0
1717675236595.0,400.0,268.0,49.0,96.0,175.0,94.0
1717675236708.0,273.0,299.0,41.0,102.0,220.0,71.0
1717675236743.0,248.0,267.0,36.0,91.0,206.0,65.0
1717675236774.0,400.0,248.0,33.0,81.0,185.0,58.0
